service,station,stop
5 Train,Atlantic Av-Barclays Ctr,36
5 Train,Franklin Av-Medgar Evers College,37
5 Train,President St-Medgar Evers College,38
5 Train,Sterling St,39
5 Train,Winthrop St,40
5 Train,Church Av,41
5 Train,Beverly Rd,42
5 Train,Newkirk Av-Little Haiti,43
5 Train,Flatbush Av-Brooklyn College,44
6 Train,Pelham Bay Park,0
6 Train,Buhre Av,1
6 Train,Middletown Rd,2
6 Train,Westchester Sq-East Tremont Av,3
6 Train,Zerega Av,4
6 Train,Castle Hill Av,5
6 Train,Parkchester,6
6 Train,St Lawrence Av,7
6 Train,Morrison Av-Soundview,8
6 Train,Elder Av,9
6 Train,Whitlock Av,10
6 Train,Hunts Point Av,11
6 Train,Longwood Av,12
6 Train,E 149 St,13
6 Train,E 143 St-Mary's St,14
6 Train,Cypress Av,15
6 Train,Brook Av,16
6 Train,3 Av-138 St,17
6 Train,125 St,18
6 Train,116 St,19
6 Train,110 St,20
6 Train,103 St,21
6 Train,96 St,22
6 Train,86 St,23
6 Train,77 St,24
6 Train,68 St-Hunter College,25
6 Train,59 St,26
6 Train,51 St,27
6 Train,Grand Central-42 St,28
6 Train,33 St,29
6 Train,28 St,30
6 Train,23 St,31
6 Train,14 St-Union Sq,32
6 Train,Astor Pl,33
6 Train,Bleeker St,34
6 Train,Spring St,35
6 Train,Canal St,36
6 Train,Brooklyn Bridge-City Hall,37
7 Train,Flushing-Main St,0
7 Train,Mets-Willets Point,1
7 Train,111 St,2
7 Train,103 St-Corona Plaza,3
7 Train,Junction Blvd,4
7 Train,90 St-Elmhurst Av,5
7 Train,82 St-Jackson Hts,6
7 Train,74 St-Broadway,7
7 Train,69 St,8
7 Train,61 St-Woodside,9
7 Train,52 St,10
7 Train,46 St-Bliss St,11
7 Train,40 St-Lowery St,12
7 Train,33 St-Rawson St,13
7 Train,Queensboro Plaza,14
7 Train,Court Sq,15
7 Train,Hunters Point Av,16
7 Train,Vernon Blvd-Jackson Av,17
7 Train,Grand Central-42 St,18
7 Train,5 Av,19
7 Train,Times Sq-42 St,20
7 Train,34 St-Hudson Yards,21
A Train,Inwood-207 St,0
A Train,Dyckman St,1
A Train,190 St,2
A Train,181 St,3
A Train,175 St,4
A Train,168 St,5
A Train,145 St,6
A Train,125 St,7
A Train,59 St-Columbus Circle,8
A Train,42 St/Port Authority Bus Terminal,9
A Train,34 St-Penn Station,10
A Train,14 St,11
A Train,W 4 St-Washington Sq,12
